Feature,Importance
hours_per_week,5775.0
state_encoded,3323.0
price_range,1129.0
delivery,902.0
alcohol,895.0
tv,872.0
outdoor_seating,853.0
caters,848.0
good_for_groups,779.0
bike_parking,777.0
wifi,772.0
good_for_kids,765.0
wheelchair,721.0
take_out,684.0
reservations,679.0
table_service,647.0
credit_card,621.0
delivery_drive_thru,458.0
happy_hour,447.0
food_type_one_American,413.0
food_type_one_Sandwiches,338.0
food_type_one_Burgers,335.0
food_type_one_Mexican,329.0
food_type_one_None,322.0
dogs,283.0
food_type_one_Chinese,262.0
food_type_one_Chicken Wings,243.0
food_type_one_Italian,240.0
open_on_weekend,200.0
food_type_one_Delis,181.0
food_type_one_Seafood,167.0
food_type_one_Diners,165.0
food_type_one_Cafes,152.0
food_type_one_Steakhouses,148.0
food_type_one_Japanese,137.0
food_type_one_Barbeque,118.0
food_type_one_Indian,105.0
food_type_one_Thai,88.0
food_type_one_Greek,79.0
food_type_one_Cajun/Creole,77.0
food_type_one_Vietnamese,55.0
